,Text
0,"RT @Mandoline_Blue: The European parliament will call for EU-wide restrictions on imports of Russian oil &amp; gas, to strategically weaken Rus…"
1,"RT @ByRakeshSimha: ▶️If you supported the savage bombing of Baghdad and Basra
▶️If supported the war that led to the deaths of a million Ir…"
2,@CorbynOver @AaronBastani A war specifically between 2 countries cannot be classified as a World War. This shouldn't really need explaining.
3,"RT @piersmorgan: There’s a 40-MILE convoy of Russian military vehicles heading towards Kyiv to surround the city, trap the people there, an…"
4,"RT @CalltoActivism: BREAKING: the International Criminal Court will open an inquiry  into Russia’s invasion of Ukraine.

RT if you want the…"
5,"RT @Sagar08573388: one indian name Naveen lost his life due to war. 
Modi Govt is making efforts more than any so called super power now.…"
6,"RT @EricLondonSEP: War propaganda from New York Times: 

The 499k fleeing west are called refugees (correct), but the 129k fleeing east don…"
7,RT @KoosdlRey: The Russian Yevgeny Maximov on his return from the Second Boer War dressed in the uniform of a Transvaal general. A friend o…
8,RT @ekurd_net: Navalny's supporters call for civil disobedience against Ukraine war https://t.co/mdZykGdl7u
9,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
10,"RT @glastris: Pay more attention to Belarus, Putin’s key ally in attacking not just Ukraine but NATO countries directly, says veteran journ…"
11,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
12,RT @RealCarlVernon: So after it being a life or death situation all the mandates suddenly drop globally as we slip into the war narrative.…
13,"RT @SkyNews: 'For some people, this day is their last one'.

Ukrainian President Volodymyr Zelenskyyy says ""thousands of people"" have been…"
14,RT @iw_koeln: IW-Direktor @michael_huether zieht in der @KSTA anhand der Regierungserklärung von @Bundeskanzler Scholz eine Parallele von E…
15,"RT @unian: Ворог – на підступах до столиці: Кличко розповів про ситуацію у Києві
https://t.co/DKiF3Uqzd9 https://t.co/n0w6QHaJV9"
16,Big Oil tweeting directly before war is the stuff that only exists in nightmares https://t.co/RutpPEuw1B
17,"RT @franakviacorka: More than 860 people were detained at the protests against the war in Ukraine and Lukashenka, who supported Putin in it…"
18,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
19,"@lewa_tywkaa @virtuspro - ESforce, MailRu. Not a single word about the war in Ukraine. Assumingly, supports Kremlin's decision.

@GambitEsports - MTS, one of Russia's largest mobile operators. Doesn't acknowledge the fact that the Russian government is killing civilians in Ukraine."
20,"RT @JavedAlamShaik4: Russia -Ukrain War : खारकीव में रूसी गोलाबारी से भारतीय छात्र नवीन शेखरप्पा की मौत, खरीदारी के लिए बाहर निकला था।

पू…"
21,"RT @_DadasPrincess: कहा से इकट्ठा किया हा बीजेपी ने ये सब मा_ल। ये तो Watsapps University से भी आगे  निकल चुके है 
2008 सीरिया war तोबा तो…"
22,"RT @NeilPHauer: Friends in Chechnya telling about just how unpopular this war is there. Everyone hoping for Russian/Kadyrovtsy deaths. ""Ukr…"
23,RT @voiceoftigray21: #AbiyAhmedAli committed ethnic cleansing &amp; war crimes against the #Tigray people. #Europe must be a place of justice.…
24,"RT @Axumawii: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequenc…"
25,@SURANJA88971267 @KapilSadyal @RahulGandhi Are madharchhoddd war ke wajhe se na price increase hua hai ye koi kyun ki kah raha
26,"RT @StephenMoore: America is importing 75,000 barrels a day from Russia. 

This means, Joe Biden is handing Putin over $10M per day for ene…"
27,RT @ronanburtenshaw: Britain should take every Ukrainian refugee that wants to come here. The fact that the Labour leadership can engage in…
28,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
29,"RT @amanpour: As the civilian population of Ukraine is being bombarded, President Zelensky is showing that he will not leave his people at…"
30,"These line from the film Border stands so true for any war, anywhere in the world...
जंग तो चंद रोज़ होती है
ज़िन्दगी बरसों तलक रोती है

#war #RussiaUkraine"
31,"RT @BuweekulaPrody: All news outlets showing us only one side of the war, why?
We need to know what Russia is doing. This all can't be happ…"
32,"@nhk_jsclub keeping peace no war
pray for making better places and have been fasely framed up which has been linked with Mizuho airen rose's husband Jr.and DR.Shouta Totsuka and Mizuho airen rose's rarelygenuinelovestory since 1993. https://t.co/H13yUKBkIc"
33,"RT @Kalli_F: Κάθε φορά που γράφει ένας ινφλουενσερ «stop the war», ξύνει ο Πούτιν τ’αρχιδια του κ με τα δυο του τα χέρια."
34,"RT @olliecarroll: Common refrain among Ukrainians — common folk and officials. “We will win, because we don’t have any other choice.” They…"
35,"RT @XSovietNews: The UK is under pressure to respond as well as or better than the EU to the war, which could be a good thing."
36,RT @AmishCatholic: One can also forcefully oppose Putin’s decision to start a war and kill thousands of people in a bloodthirsty imperialis…
37,RT @swilkinsonbc: Go on! be freedom fighters! resist your occupiers; knock ya socks off! make molotov cocktails! be herofied! as long as yo…
38,"RT @POLITICOEurope: One of the US’ top experts on Russia says we are already in the middle of a Third World War, whether we’ve fully graspe…"
39,"RT @KimDotcom: I hate what’s happening to the people of Ukraine. They are the victims of both Russia and US.

But this war is a result of a…"
40,"@jumpup_johnny @vyassaran @Abbott19Julia @CBCNews Bullshit, you are to scared to get a vaccine how are you going to fight a war?"
41,"RT @_IainMartin: Also a great longer read on EPAM from @PhillyJoeD 
https://t.co/np5rtmeqOB"
42,"@ragipsoylu @gregpmiller *children murdered by Putin.

Every casualty in this war is part of Putin's mass murder."
43,RT @at2rty: @W7VOA EU is going bunkers/ no different than Hitler 1939/ news about the EU🙃/ fighting a war that is already lost. on the inve…
44,"RT @FeistyFifties23: I'm attending a @STWUK event: 

No to War in #Ukraine - #London Demonstration.

RSVP here... https://t.co/k2mnLIKKp4"
45,"I think it's funny when liberals where saying, when trump gets us in another war all yall gun lover and trump supporters better be the ones fighting. Because what are they doing now"
46,"RT @SlavaMalamud: I won't be in the Hall of Fame. I can't change many minds. Ovechkin will be and can.
Contrary to what you think, his fami…"
47,"RT @EdmundGriffiths: The invasion of Ukraine is wrong bc it kills &amp; maims innocent people, displaces them from their homes, destroys infras…"
48,@bobby_JD_AJ @BernieSanders The Ukraine would’ve been part of NATO if it wasn’t for Putin demanding that they never be excepted and this was before this war broke out. It’s scary that someone could have that much power to force NATO not to include a country. Putin needs to be taken down.
49,"RT @_DadasPrincess: कहा से इकट्ठा किया हा बीजेपी ने ये सब मा_ल। ये तो Watsapps University से भी आगे  निकल चुके है 
2008 सीरिया war तोबा तो…"
50,RT @DmytroKuleba: Barbaric Russian missile strikes on the central Freedom Square and residential districts of Kharkiv. Putin is unable to b…
51,"Faschingsdienstag.
Der war mir noch nie sonderlich wichtig. 
Aber wir haben ab 12.00 frei.
Ein geschenkter halber Tag.
Voll geil."
52,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
53,RT @christogrozev: Ukraine's media savvy authorities appear to spend enough attention to keeping Ukraine's civilian population motivated an…
54,"Ukraine War Today- Shot down helicopter https://t.co/MqTSPWaCsi via @YouTube 
#Ukraine #ukrainewar #ukrainian #UkraineMilitaryAidNOW  #Kiev #ukrainekyiv #Kyiv #KyivUkraine #UkraineWillResist #UkraineRussiaWar #warfootage #Ukrainevideo"
55,"https://t.co/xA6KA9IvHA

War Thunder Game Hack Cheat Generator #warthunder #warthundercheat #warthundermod #warthundergenerator #warthunderhack https://t.co/wP4KaNJvEI"
56,"RT @MedvedevRussiaE: Today, some French minister has said that they declared an economic war on Russia. Watch your tongue, gentlemen! And d…"
57,"RT @_ERNRITA: ERN-RITA is deeply concerned by this dreadful situation in Ukraine and will do everything possible so that patients, includin…"
58,RT @RajivMessage: Indian student Rashid Rizwan stranded amid war had protested against CAA in Ukraine: Details https://t.co/shxXcHMpCH
59,"RT @fucking__bass: ゼレンスキーは、「私たちと一緒に、間違いなくEUは強くなる」とし、「私たちは土地と自由のために戦っている」と発表しました。

#Russia
#Ukraine 
#war https://t.co/7ZTYlz3t13"
60,"RT @RealHauleGluck: We as an International Community cannot stand by idle as rape is weaponized, starvation, drone attacks. We must take ac…"
61,"RT @kylegriffin1: THE HAGUE, Netherlands (AP) — International Criminal Court prosecutor to open probe into possible war crimes or crimes ag…"
62,RT @anthonycwalker: No heat where I slept last night. 14°C. War sucks.
63,"@kpru seine das eine grauen mann getötet war ,dann war 2 frauen eine war mit hund bedeutet es das sie zeuge bei polizei war wo eine getötet war mit graue haare ,dann sie war mit schwarze line ,alsso haben wir personen bei spazierren"
64,RT @ronanburtenshaw: Britain should take every Ukrainian refugee that wants to come here. The fact that the Labour leadership can engage in…
65,@mattuthompson Sure. I agree that would lead to retaliation by Russia. I don't agree it would technically be an act of war to establish a no-fly-zone over a sovereign territory that agrees to the zone - and we should not call it that. Words matter.
66,"Grow your onlyfans and donate war casualties of ukraine on Instagram.
We help you to grow your OnlyFans at instagram over 12millions+ network 📩 most visit
https://t.co/1zEeYBXjCA https://t.co/TbU9aAers2"
67,"RT @GissouNia: Today, @IHRDC, through my co-counsel @dijkstal and myself, sent an Article 15 communication to the International Criminal Co…"
68,"RT @Waveboywavez: The feminist are very silent at this period of Russia-Ukraine war, no no no this is the time to speak up this is the time…"
69,RT @AndrewFeinberg: This thermobaric explosion is a war crime.  https://t.co/4okmx2kUSU
70,RT @AFP: #BREAKING Ukraine's Zelensky says Russian shelling on Kharkiv a 'war crime' https://t.co/1IzUwzoBSS
71,RT @noahlambert11: @fcsm_eng You cannot expect a club to represent Russia in a European competition when they are fighting a war against an…
72,@EuromaidanPR Yes and make Word War 3 official. 🤦‍♂️
73,"@TheVoic97615729 @MartynWilliams2 @Mij_Europe Europe isn't at war with the UK. 

UK made its bed; it will have to lie in it."
74,Interesting insights. Almost scary how tough it is to understand the parameters of strategy and war dynamics in this age. https://t.co/xyiT1OFFmR
75,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
76,"RT @fevenmesay: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential conseque…"
77,"RT @amanpour: As the civilian population of Ukraine is being bombarded, President Zelensky is showing that he will not leave his people at…"
78,"As a citizen of the country that was lucky enough to become (and wanted to become) a @NATO member, I found this opinion in @guardian rather arrogant and shortsighted. What else would stop a Russian autocrat not attacking for example Baltic counties?
https://t.co/EDkwHiuKS9"
79,@BBCWorld Why didn't you mobilize yourselves to build better education/hospitals/etc  before the war started?Ukr is one of the poorest countries I've seen! I feel like you mobilize as to get an award for acting and by calling all the countries in a war you are making a genocide!
80,"RT @davidgilmour: Russian soldiers, stop killing your brothers. There will be no winners in this war.

My daughter-in-law is Ukrainian and…"
81,RT @ronanburtenshaw: Britain should take every Ukrainian refugee that wants to come here. The fact that the Labour leadership can engage in…
82,"@DPJHodges If you want the UK to declare war on the Russian Federation, fine, make an argument that it is worth the cost.  But don't pretend that a no-fly zone is different from a declaration of war."
83,RT @AdGuard: We at AdGuard are deeply worried about the conflict in Ukraine. Some members of our team are in Ukraine right now. Others have…
84,"@DmytroKuleba Europe needs to engage fully in this unlawful war, otherwise all our ideals are hollow.
Slava Ukraina, Slava Europa."
85,"@scribbl64805724 @rabid_rabitt Your correct ,I’m not sure I’d have the courage of Russian anti war protesters. Walking away from Omelas is not the same as countenancing the complete destruction of human civilisation though ."
86,@ellymelly Because war is good?
